#Generated Uranium distribution

# NX = 80
# NY = 60
# column 1: node-number
# column 2: x-distance
# column 3: y-distance
# column 4: Uraninite

0 2.5 2.5 1.258e-03
1 7.5 2.5 3.704e-05
2 12.5 2.5 3.704e-05
3 17.5 2.5 3.704e-05
4 22.5 2.5 6.765e-04
5 27.5 2.5 5.798e-04
6 32.5 2.5 1.229e-03
7 37.5 2.5 3.704e-05
8 42.5 2.5 3.704e-05
9 47.5 2.5 1.633e-03
10 52.5 2.5 3.704e-05
11 57.5 2.5 6.199e-04
12 62.5 2.5 6.859e-04
13 67.5 2.5 1.194e-03
14 72.5 2.5 1.634e-03
15 77.5 2.5 3.704e-05
16 82.5 2.5 1.572e-03
17 87.5 2.5 4.455e-04
18 92.5 2.5 3.704e-05
19 97.5 2.5 3.704e-05
20 102.5 2.5 3.704e-05
21 107.5 2.5 2.003e-04
22 112.5 2.5 1.532e-03
23 117.5 2.5 4.907e-04
24 122.5 2.5 3.704e-05
25 127.5 2.5 3.704e-05
26 132.5 2.5 3.574e-04
27 137.5 2.5 1.156e-04
28 142.5 2.5 8.891e-04
29 147.5 2.5 4.770e-05
30 152.5 2.5 3.704e-05
31 157.5 2.5 3.686e-04
32 162.5 2.5 3.704e-05
33 167.5 2.5 7.152e-04
34 172.5 2.5 1.261e-03
35 177.5 2.5 3.704e-05
36 182.5 2.5 1.967e-04
37 187.5 2.5 9.643e-04
38 192.5 2.5 1.259e-03
39 197.5 2.5 4.895e-04
40 202.5 2.5 3.704e-05
41 207.5 2.5 3.704e-05
42 212.5 2.5 1.134e-03
43 217.5 2.5 3.704e-05
44 222.5 2.5 3.704e-05
45 227.5 2.5 5.100e-04
46 232.5 2.5 5.599e-04
47 237.5 2.5 3.704e-05
48 242.5 2.5 1.036e-03
49 247.5 2.5 1.208e-03
50 252.5 2.5 3.704e-05
51 257.5 2.5 3.704e-05
52 262.5 2.5 3.704e-05
53 267.5 2.5 3.704e-05
54 272.5 2.5 1.147e-03
55 277.5 2.5 1.115e-03
56 282.5 2.5 3.704e-05
57 287.5 2.5 3.704e-05
58 292.5 2.5 3.704e-05
59 297.5 2.5 1.321e-03
60 302.5 2.5 4.624e-04
61 307.5 2.5 1.010e-03
62 312.5 2.5 3.704e-05
63 317.5 2.5 3.704e-05
64 322.5 2.5 1.461e-03
